title,rating,year,genre,poster_url,description
"Apollo 13",7.3,1995,Drama,https://image.tmdb.org/t/p/w500/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy."
"Raiders of the Lost Ark",7.7,1981,Drama,https://image.tmdb.org/t/p/w500/44sKJOGP3fTm4QXBcIuqu0RkdP7.jpg,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
"Sully",7.0,2016,Drama,https://image.tmdb.org/t/p/w500/h6O5OE3ueRVdCc7V7cwTiQocI7D.jpg,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career."
"Minions",6.4,2015,Family,https://image.tmdb.org/t/p/w500//q0R4crx2SehcEEQEkYObktdeFy.jpg,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world."
"Star Wars: The Last Jedi",7.2,2017,Action,https://image.tmdb.org/t/p/w500//kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order."
"The Greatest Showman",8,2017,Drama,https://image.tmdb.org/t/p/w500//dfhztJRiElqmYW4kpvjYe1gENsD.jpg,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus."
"The Maze Runner",7,2014,Action,https://image.tmdb.org/t/p/w500//coss7RgL0NH6g4fC2s5atvf3dFO.jpg,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape."
"Guardians of the Galaxy",7.9,2014,Action,https://image.tmdb.org/t/p/w500//y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser."
"Blade Runner",7.9,1982,Science Fiction,https://image.tmdb.org/t/p/w500//p64TtbZGCElxQHpAMWmDHkWJlH2.jpg,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
"John Wick",7,2014,Action,https://image.tmdb.org/t/p/w500//5vHssUeVe25bMrof1HyaPyWgaP.jpg,"Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him."
"Coco",7.7,2017,Adventure,https://image.tmdb.org/t/p/w500//eKi8dIrr8voobbaGzDpe8w0PVbC.jpg,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history."
"Jumanji",7,1995,Adventure,https://image.tmdb.org/t/p/w500//8wBKXZNod4frLZjAKSDuAcQ2dEU.jpg,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures."
"Beauty and the Beast",6.8,2017,Family,https://image.tmdb.org/t/p/w500//tWqifoYuwLETmmasnGHO7xBjEtt.jpg,"A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell."
"Blade Runner 2049",7.4,2017,Mystery,https://image.tmdb.org/t/p/w500//gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years."
"Thor: Ragnarok",7.5,2017,Science Fiction,https://image.tmdb.org/t/p/w500//oSLd5GYGsiGgzDPKTwQh7wamO8t.jpg,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the prophecy of destruction to his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela."
"Olaf's Frozen Adventure",5.9,2017,Adventure,https://image.tmdb.org/t/p/w500//47pLZ1gr63WaciDfHCpmoiXJlVr.jpg,"Olaf is on a mission to harness the best holiday traditions for Anna, Elsa, and Kristoff."
"Insidious: The Last Key",6,2018,Mystery,https://image.tmdb.org/t/p/w500//nb9fc9INMg8kQ8L7sE7XTNsZnUX.jpg,"Parapsychologist Elise Rainier and her team travel to Five Keys, N.M., to investigate a man's claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family's old home."
"The Commuter",5.5,2018,Action,https://image.tmdb.org/t/p/w500//rDeGK6FIUfVcXmuBdEORPAGPMNg.jpg,"A businessman on his daily commute home gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him."
"Sleight",5.3,2017,Drama,https://image.tmdb.org/t/p/w500//wridRvGxDqGldhzAIh3IcZhHT5F.jpg,"A young street magician is left to take care of his little sister after his mother's passing and turns to drug dealing in the Los Angeles party scene to keep a roof over their heads. When he gets into trouble with his supplier, his sister is kidnapped and he is forced to rely on both his sleight of hand and brilliant mind to save her."
"Baby Driver",7.3,2017,Action,https://image.tmdb.org/t/p/w500//dN9LbVNNZFITwfaRjl4tmwGWkRg.jpg,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
"Batman v Superman: Dawn of Justice",5.7,2016,Action,https://image.tmdb.org/t/p/w500//cGOPbv9wA5gEejkUN892JrveARt.jpg,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
"The Post",6.8,2017,Drama,https://image.tmdb.org/t/p/w500//qyRwj5VvuTRdJ76o2grP93grNxt.jpg,"A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events."
"Kingsman: The Golden Circle",7,2017,Action,https://image.tmdb.org/t/p/w500//34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world."
"Maze Runner: The Death Cure",7.3,2018,Action,https://image.tmdb.org/t/p/w500//7GgZ6DGezkh3szFdvskH5XD4V0t.jpg,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze."
"Jumanji: Welcome to the Jungle",6.4,2017,Action,https://image.tmdb.org/t/p/w500//bXrZ5iHBEjH7WMidbUDQ0U2xbmr.jpg,"The tables are turned as four teenagers are sucked into Jumanji's world - pitted against rhinos, black mambas and an endless variety of jungle traps and puzzles. To survive, they'll play as characters from the game."
"War for the Planet of the Apes",6.8,2017,Drama,https://image.tmdb.org/t/p/w500//3vYhLLxrTtZLysXtIWktmd57Snv.jpg,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet."
"Valerian and the City of a Thousand Planets",6.7,2017,Adventure,https://image.tmdb.org/t/p/w500//jfIpMh79fGRqYJ6PwZLCntzgxlF.jpg,"In the 28th century, Valerian and Laureline are special operatives charged with keeping order throughout the human territories. On assignment from the Minister of Defense, the two undertake a mission to Alpha, an ever-expanding metropolis where species from across the universe have converged over centuries to share knowledge, intelligence, and cultures. At the center of Alpha is a mysterious dark force which threatens the peaceful existence of the City of a Thousand Planets, and Valerian and Laureline must race to identify the menace and safeguard not just Alpha, but the future of the universe."
"John Wick: Chapter 2",6.8,2017,Thriller,https://image.tmdb.org/t/p/w500//zkXnKIwX5pYorKJp2fjFSfNyKT0.jpg,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers."
"The Hunger Games: Mockingjay - Part 1",6.7,2014,Science Fiction,https://image.tmdb.org/t/p/w500//gj282Pniaa78ZJfbaixyLXnXEDI.jpg,"Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol."
"Lucy",6.2,2014,Action,https://image.tmdb.org/t/p/w500//rwn876MeqienhOVSSjtUPnwxn0Z.jpg,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
"Annabelle: Creation",6.4,2017,Horror,https://image.tmdb.org/t/p/w500//tb86j8jVCVsdZnzf8I6cIi65IeM.jpg,"Several years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the dollmaker's possessed creation, Annabelle."
"12 Strong",4.4,2018,War,https://image.tmdb.org/t/p/w500//j18021qCeRi3yUBtqd2UFj1c0RQ.jpg,"A team of CIA agents and special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban."
"Fantastic Beasts and Where to Find Them",7.2,2016,Adventure,https://image.tmdb.org/t/p/w500//gri0DDxsERr6B2sOR1fGLxLpSLx.jpg,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations."
"Blade of the Immortal",7.2,2017,Drama,https://image.tmdb.org/t/p/w500//kKTienMUY1vjYhtuZPWZZyEObKN.jpg,"Manji, a highly skilled samurai, becomes cursed with immortality after a legendary battle. Haunted by the brutal murder of his sister, Manji knows that only fighting evil will regain his soul. He promises to help a young girl named Rin avenge her parents, who were killed by a group of master swordsmen led by ruthless warrior Anotsu. The mission will change Manji in ways he could never imagine."
"Molly's Game",6.7,2017,Crime,https://image.tmdb.org/t/p/w500//h9hUP5ZJGsjL2wbERrGlj4dMjZq.jpg,"Molly Bloom, a young skier and former Olympic hopeful becomes a successful entrepreneur (and a target of an FBI investigation) when she establishes a high-stakes, international poker game."
"The Legend of Tarzan",5.6,2016,Action,https://image.tmdb.org/t/p/w500//6FxOPJ9Ysilpq0IgkrMJ7PubFhq.jpg,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
"Zootopia",7.7,2016,Animation,https://image.tmdb.org/t/p/w500//sM33SANp9z6rXW8Itn7NnG1GOEs.jpg,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery."
"Hostiles",5,2017,Adventure,https://image.tmdb.org/t/p/w500//rqoezyB51GfhiloOB5ZErg5HXas.jpg,"A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation."
"No manches Frida",7.4,2016,Comedy,https://image.tmdb.org/t/p/w500//ld6WsaJKRwLzqPCulRo24XZDtuL.jpg,"After his release from prison, bank robber Zequi sets off to recover the stolen money that was buried by his dizzy accomplice. He's horrified to learn that a high school gymnasium is now standing over the site where the loot is stashed. Needing to infiltrate the building, Zequi lands a job as a substitute teacher for a group of wild and unruly students. As the ex-con tries to lay down the law, he starts to realize that life in jail may have been easier than trying to deal with rebellious teens."
"Suicide Squad",5.9,2016,Action,https://image.tmdb.org/t/p/w500//e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences."
"Den of Thieves",5.7,2018,Crime,https://image.tmdb.org/t/p/w500//onnxOne4EVdpqtuTpEBtD1I8tdJ.jpg,"While planning a bank heist, a thief gets trapped between two sets of criminals."
"My Little Pony: The Movie",7.4,2017,Music,https://image.tmdb.org/t/p/w500//8FAkwIBnd5eGlSJBrJfJVMWAbhI.jpg,"A new dark force threatens Ponyville, and the Mane 6 – Twilight Sparkle, Applejack, Rainbow Dash, Pinkie Pie, Fluttershy and Rarity – embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship and save their home."
"Atomic Blonde",6.1,2017,Action,https://image.tmdb.org/t/p/w500//kV9R5h0Yct1kR8Hf8sJ1nX0Vz4x.jpg,"An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents."
"Okja",7.6,2017,Adventure,https://image.tmdb.org/t/p/w500//pHlRr2MfjK77VIIAO7p0R4jhsJI.jpg,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja."
"Pacific Rim",6.7,2013,Action,https://image.tmdb.org/t/p/w500//sCJEwEShZvruTpQ2a4yiX3Q9EyZ.jpg,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse."
"The Circle",5.4,2017,Drama,https://image.tmdb.org/t/p/w500//bQVqd5rWrx5GbXhJNuvKy4Viz6j.jpg,"A young tech worker takes a job at a powerful Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will determine the future of humanity."
"Ant-Man",7,2015,Science Fiction,https://image.tmdb.org/t/p/w500//D6e8RJf2qUstnfkTslTXNTUAlT.jpg,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world."
"Guardians of the Galaxy Vol. 2",7.6,2017,Action,https://image.tmdb.org/t/p/w500//y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,"The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage."
"Pirates of the Caribbean: Dead Men Tell No Tales",6.5,2017,Adventure,https://image.tmdb.org/t/p/w500//xbpSDU3p7YUGlu9Mr6Egg2Vweto.jpg,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy."
"Power Rangers",6.3,2017,Action,https://image.tmdb.org/t/p/w500//iRAZIEgfB9N0BObV0QI61Nxh92h.jpg,"Saban's Power Rangers follows five ordinary teens who must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny, our heroes quickly discover they are the only ones who can save the planet. But to do so, they will have to overcome their real-life issues and before it’s too late, band together as the Power Rangers."
"Day of the Dead: Bloodline",3.9,2018,Action,https://image.tmdb.org/t/p/w500//3jM4C1wJxHLWlF4tcSyyv6fnJPR.jpg,"In a world overrun by zombies, military personnel and survivalists live in an underground bunker while they seek a cure."
"The Mummy",5.4,2017,Fantasy,https://image.tmdb.org/t/p/w500//zxkY8byBnCsXodEYpK8tmwEGXBI.jpg,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension."
"The Avengers",7.5,2012,Science Fiction,https://image.tmdb.org/t/p/w500//cezWGskPY5x7GaglTTRN4Fugfb8.jpg,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"
"Gantz:O",7.1,2016,Action,https://image.tmdb.org/t/p/w500//fF33nRbgvxNgTTPUuNqNsRPYmxZ.jpg,"Somewhere in Tokyo, there is a room. In that room is a black sphere. Periodically, people who should otherwise have died are transferred to the room. There, the sphere gives them special suits and weapons, and sends them out on a mission to kill aliens here on Earth. While these missions take place, the rest of the world is largely oblivious to them. These missions are lethal - few participants survive them. The sphere calls the shots, and it's not the slightest bit nice. Its name... Gantz."
"Thor: The Dark World",6.7,2013,Action,https://image.tmdb.org/t/p/w500//bnX5PqAdQZRXSw3aX3DutDcdso5.jpg,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all."
"Sicario",7.2,2015,Action,https://image.tmdb.org/t/p/w500//p2SdfGmQRaw8xhFbexlHL7srMM8.jpg,"A young female FBI agent joins a secret CIA operation to take down a Mexican cartel boss, a job that ends up pushing her ethical and moral values to the limit."
"Miss Peregrine's Home for Peculiar Children",6.6,2016,Drama,https://image.tmdb.org/t/p/w500//tzYkC0vqX8Dokuwynhz1lnWWgWT.jpg,"A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them."
"Logan",7.6,2017,Action,https://image.tmdb.org/t/p/w500//gGBu0hKw9BGddG8RkRAMX7B6NDB.jpg,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces."
"Maze Runner: The Scorch Trials",6.5,2015,Action,https://image.tmdb.org/t/p/w500//vlTPQANjLYTebzFJM1G4KeON0cb.jpg,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all."
